frame_idx,time_sec,active_side,left_elbow_angle,left_rep_count,left_good_form,left_rom_ok,left_torso_stable,left_elbow_near_torso,left_wrist_ok,left_messages,right_elbow_angle,right_rep_count,right_good_form,right_rom_ok,right_torso_stable,right_elbow_near_torso,right_wrist_ok,right_messages
77,2.566666666666667,right,174.48879901829207,0,True,True,True,True,True,Good curl mechanics in this frame.,160.22366990430675,0,True,True,True,True,True,Good curl mechanics in this frame.
78,2.6,right,174.3763243593839,0,True,True,True,True,True,Good curl mechanics in this frame.,159.78780115363867,0,True,True,True,True,True,Good curl mechanics in this frame.
79,2.6333333333333333,right,174.13682069337116,0,True,True,True,True,True,Good curl mechanics in this frame.,159.38475870759186,0,True,True,True,True,True,Good curl mechanics in this frame.
80,2.6666666666666665,right,173.9147831073843,0,True,True,True,True,True,Good curl mechanics in this frame.,158.90860286631727,0,True,True,True,True,True,Good curl mechanics in this frame.
81,2.7,right,173.6327058217313,0,True,True,True,True,True,Good curl mechanics in this frame.,158.38740940857815,0,True,True,True,True,True,Good curl mechanics in this frame.
82,2.7333333333333334,right,173.22074483138397,0,True,True,True,True,True,Good curl mechanics in this frame.,157.86809274337105,0,True,True,True,True,True,Good curl mechanics in this frame.
83,2.7666666666666666,right,172.75648369366314,0,True,True,True,True,True,Good curl mechanics in this frame.,157.39607950813786,0,True,True,True,True,True,Good curl mechanics in this frame.
84,2.8,right,172.194773818316,0,True,True,True,True,True,Good curl mechanics in this frame.,156.92855324162096,0,True,True,True,True,True,Good curl mechanics in this frame.
85,2.8333333333333335,right,171.9078799131886,0,True,True,True,True,True,Good curl mechanics in this frame.,156.54837559802263,0,True,True,True,True,True,Good curl mechanics in this frame.
86,2.8666666666666667,right,171.4507530244828,0,True,True,True,True,True,Good curl mechanics in this frame.,156.028694100681,0,True,True,True,True,True,Good curl mechanics in this frame.
87,2.9,right,170.64704354245063,0,True,True,True,True,True,Good curl mechanics in this frame.,155.44486189685793,0,True,True,True,True,True,Good curl mechanics in this frame.
88,2.933333333333333,right,169.96146022813718,0,True,True,True,True,True,Good curl mechanics in this frame.,154.61477475807658,0,True,True,True,True,True,Good curl mechanics in this frame.
89,2.966666666666667,right,169.28415625347435,0,True,True,True,True,True,Good curl mechanics in this frame.,153.54713600280053,0,True,True,True,True,True,Good curl mechanics in this frame.
90,3.0,right,168.4680892948165,0,True,True,True,True,True,Good curl mechanics in this frame.,152.32522196808756,0,True,True,True,True,True,Good curl mechanics in this frame.
91,3.033333333333333,right,167.80518058156127,0,True,True,True,True,True,Good curl mechanics in this frame.,151.0390539801143,0,True,True,True,True,True,Good curl mechanics in this frame.
92,3.066666666666667,right,167.08000751487117,0,True,True,True,True,True,Good curl mechanics in this frame.,149.6245874766879,0,False,False,True,True,True,Increase curl depth for better range of motion.
93,3.1,right,166.2005084796653,0,True,True,True,True,True,Good curl mechanics in this frame.,147.60713304219763,0,False,False,True,True,True,Increase curl depth for better range of motion.
94,3.1333333333333333,right,164.2565181023407,0,True,True,True,True,True,Good curl mechanics in this frame.,145.3359557792495,0,False,False,True,True,True,Increase curl depth for better range of motion.
95,3.1666666666666665,right,162.09601908290858,0,True,True,True,True,True,Good curl mechanics in this frame.,142.9900343647461,0,False,False,True,True,True,Increase curl depth for better range of motion.
96,3.2,right,159.61620398812323,0,True,True,True,True,True,Good curl mechanics in this frame.,140.48667267831306,0,False,False,True,True,True,Increase curl depth for better range of motion.
97,3.2333333333333334,right,156.53151918042482,0,True,True,True,True,True,Good curl mechanics in this frame.,137.62505729307193,0,False,False,True,True,True,Increase curl depth for better range of motion.
98,3.2666666666666666,right,151.8166714285852,0,True,True,True,True,True,Good curl mechanics in this frame.,134.60621120442542,0,False,False,True,True,True,Increase curl depth for better range of motion.
99,3.3,right,144.21051834588673,0,False,False,True,True,True,Increase curl depth for better range of motion.,130.59463619892915,0,False,False,True,True,True,Increase curl depth for better range of motion.
